,Subject,Course,CRN,Course Title,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W,Average Grade,Primary Instructor,Start time,End time,Day,Building
1504,LER,569,53173,Power & Influence in HRM,8,20,0,0,0,0,0,0,0,0,0,0,1,0,3.86,"Benton, Richard",660.0,830.0,W,Inst Labor &  Industrial Rel
1505,LER,590,65508,Corporate Social Respon,1,5,5,9,1,0,0,0,0,0,0,0,0,0,3.59,"Jung, Ji Wook",840.0,1010.0,W,Inst Labor &  Industrial Rel
1506,LER,590,53179,Gov't Reg & Employment Law,1,36,0,3,0,0,0,0,0,0,0,0,0,0,3.95,"Leroy, Michael H",510.0,650.0,M,Inst Labor &  Industrial Rel
1507,LER,590,63831,"Emp Stress, Well-Being & Saf",0,18,2,1,0,0,0,0,0,0,0,0,1,0,3.76,"Park, YoungAh",660.0,830.0,M,Inst Labor &  Industrial Rel
1508,LER,590,58984,"Work, Family and Orgnizations",0,14,9,5,2,0,0,0,0,0,0,0,0,0,3.72,"Kramer, Amit",840.0,1010.0,R,Inst Labor &  Industrial Rel
1509,LER,591,53172,Employment Relations Systems,3,20,5,1,0,0,0,0,0,0,0,0,0,0,3.92,"Cardador, Maria T",480.0,650.0,T,Inst Labor &  Industrial Rel
1510,LER,593,53174,Quantitative Methods in LER,8,11,5,3,2,2,0,0,1,2,0,0,2,0,3.33,"Frye, Christina L",840.0,1010.0,M,Inst Labor &  Industrial Rel
1511,LER,595,57397,Managing Diversity Globally,1,23,8,5,3,2,1,0,0,0,0,0,0,0,3.69,"Kramer, Amit",480.0,650.0,R,Inst Labor &  Industrial Rel
1513,LING,100,36373,Intro to Language Science,11,24,36,12,9,7,0,3,2,0,2,0,3,1,3.39,"Shosted, Ryan K",780.0,830.0,MW,Burrill Hall
1514,LING,111,49302,Language in Globalization,42,41,9,8,16,6,1,8,0,2,2,0,2,0,3.49,"Bhatt, Rakesh M",600.0,650.0,MW,Gregory Hall
1515,LING,225,36397,"Language, Mind, and Brain",1,5,8,7,7,2,2,1,0,2,0,0,1,1,3.12,"Shantz, Kailen T",1440.0,1490.0,MW,Gregory Hall
1516,LING,250,36405,Language Diversity in the USA,4,8,2,4,2,0,0,1,0,1,0,0,0,0,3.55,"Weissman, Benjamin P",660.0,710.0,MW,Altgeld Hall
1517,LING,270,46616,"Language, Technology & Society",4,16,8,2,1,1,0,1,1,0,0,0,0,0,3.69,"Hall, John W",570.0,650.0,TR,Armory
1518,LING,301,36378,Elements of Syntax,2,3,8,4,3,2,2,2,1,0,0,1,0,0,3.14,"MacDonald, Jonathan E",660.0,710.0,MW,Davenport Hall
1519,LING,302,44439,Elements of Phonology,1,16,2,0,1,1,0,0,2,0,0,1,2,0,3.27,"Shosted, Ryan K",840.0,890.0,MW,Gregory Hall
1520,LING,307,63365,Elmnts Semantics & Pragmatics,1,19,3,1,6,1,0,5,1,0,0,0,0,0,3.42,"Schreiner, Sylvia L",540.0,590.0,MW,Gregory Hall
1521,LING,406,40130,Intro to Computational Ling,17,20,14,1,0,0,2,0,0,0,0,0,0,0,3.84,"Girju, Corina R",1470.0,830.0,TR,B Engineering Hall
1522,LING,425,46351,Intro to Psycholinguistics,11,7,1,1,1,1,1,1,0,2,2,1,0,0,3.34,"Ionin, Tania",930.0,1010.0,TR,Gregory Hall
1526,LIS,490,57805,Introduction to Databases,0,21,5,0,1,0,1,1,0,0,0,0,0,0,3.78,"Gough, John P",540.0,710.0,T,Grad Sch of Lib & Info Science
1534,LIS,542,63691,"Data, Stat, Info",0,12,19,8,0,3,0,0,0,0,0,0,0,0,3.63,"Stodden, Victoria",540.0,710.0,T,Grad Sch of Lib & Info Science
1535,LIS,543,63679,Sociotechnical Info Sys,1,10,6,2,2,0,0,0,0,0,0,0,0,0,3.75,"Darch, Peter T",540.0,710.0,R,Grad Sch of Lib & Info Science
1536,LIS,561,65539,Information Modeling,1,17,3,2,2,0,0,0,0,0,0,0,0,0,3.83,"Schneider, Jodi A",840.0,1010.0,R,Grad Sch of Lib & Info Science
1539,LIS,590,65591,Data Visualization,0,16,18,0,4,1,0,0,0,0,0,0,0,0,3.71,"Turk, Matthew J",600.0,1490.0,F,Grad Sch of Lib & Info Science
1540,LLS,100,36897,Intro Latina/Latino Studies,4,4,5,4,1,2,1,0,1,0,0,0,1,0,3.3,"Madarieta, Ethan",840.0,890.0,R,W Oregon
1541,LLS,100,36898,Intro Latina/Latino Studies,7,6,8,2,2,0,0,0,0,1,0,0,0,0,3.67,"Madarieta, Ethan",960.0,1010.0,R,W Oregon
1542,LLS,100,36899,Intro Latina/Latino Studies,4,2,8,4,1,1,1,0,1,1,1,0,0,0,3.28,"Madarieta, Ethan",780.0,830.0,F,W Oregon
1543,LLS,265,60382,Politics of Hip Hop,0,11,10,3,3,1,0,5,0,0,0,0,0,0,3.4,"Coyoca, Wilfred D",660.0,1460.0,TR,W Oregon
1544,LLS,355,57159,Race and Mixed Race,3,11,4,3,4,2,0,1,0,0,0,0,0,0,3.57,"Dowling, Julie",600.0,680.0,MW,B David Kinley Hall
1545,MACS,100,63465,Intro to Popular TV & Movies,2,6,13,2,5,0,0,0,0,0,0,0,0,0,3.62,"Kozma, Alicia",540.0,590.0,M,Gregory Hall
1546,MACS,100,63466,Intro to Popular TV & Movies,1,8,8,5,3,0,0,3,0,1,0,0,0,0,3.39,"Kozma, Alicia",600.0,650.0,M,Armory
1547,MACS,100,63467,Intro to Popular TV & Movies,3,9,8,1,6,0,0,1,1,0,0,0,0,0,3.53,"Kozma, Alicia",660.0,710.0,M,Armory
1548,MACS,100,63468,Intro to Popular TV & Movies,2,5,7,3,3,4,2,0,1,0,0,0,1,0,3.2,"Kozma, Alicia",960.0,1010.0,W,Gregory Hall
1549,MACS,100,63469,Intro to Popular TV & Movies,0,6,10,5,5,2,0,0,0,0,0,1,0,0,3.39,"Kozma, Alicia",540.0,590.0,R,Armory
1550,MACS,100,63470,Intro to Popular TV & Movies,0,11,7,5,2,2,0,0,1,0,0,1,0,0,3.45,"Kozma, Alicia",600.0,650.0,R,Armory
1551,MACS,100,63471,Intro to Popular TV & Movies,2,6,6,4,2,3,2,1,0,0,1,0,1,2,3.18,"Kozma, Alicia",660.0,710.0,R,Gregory Hall
1552,MACS,100,63472,Intro to Popular TV & Movies,3,9,6,1,3,1,1,1,1,1,0,0,0,0,3.42,"Kozma, Alicia",780.0,830.0,R,Armory
1553,MACS,100,63473,Intro to Popular TV & Movies,8,10,3,0,1,0,1,1,0,0,0,0,1,0,3.61,"Kozma, Alicia",840.0,890.0,R,Gregory Hall
1554,MACS,100,63474,Intro to Popular TV & Movies,5,9,8,1,0,1,0,1,1,0,0,0,1,0,3.52,"Kozma, Alicia",900.0,950.0,R,Armory
1555,MACS,100,63833,Intro to Popular TV & Movies,0,7,8,5,2,1,0,0,1,0,0,0,0,1,3.51,"Kozma, Alicia",960.0,1010.0,R,Armory
1556,MACS,100,63834,Intro to Popular TV & Movies,2,2,9,3,1,6,0,1,0,0,1,0,1,0,3.12,"Kozma, Alicia",540.0,590.0,F,Armory
1557,MACS,100,63835,Intro to Popular TV & Movies,2,12,7,2,2,1,0,0,0,0,0,0,1,1,3.59,"Kozma, Alicia",600.0,650.0,F,Armory
1558,MACS,100,63836,Intro to Popular TV & Movies,7,9,7,3,1,0,1,0,0,0,0,0,1,0,3.62,"Kozma, Alicia",660.0,710.0,F,Armory
1559,MACS,100,63837,Intro to Popular TV & Movies,3,14,5,2,0,0,0,0,0,0,0,0,0,0,3.88,"Kozma, Alicia",1440.0,1490.0,F,Armory
1560,MACS,100,63838,Intro to Popular TV & Movies,0,8,7,2,0,3,1,1,0,2,0,0,3,0,2.94,"Kozma, Alicia",780.0,830.0,F,Armory
